STATIONS_ID;MESS_DATUM;  QN;PP_10;TT_10;TM5_10;RF_10;TD_10;eor
       3925;201907200000;    2;   -999;  15.7;  13.7;  88.9;  13.9;eor
       3925;201907200010;    2;   -999;  15.5;  13.6;  89.6;  13.8;eor
       3925;201907200020;    2;   -999;  15.5;  13.7;  89.8;  13.8;eor
       3925;201907200030;    2;   -999;  15.4;  13.7;  90.2;  13.8;eor
       3925;201907200040;    2;   -999;  15.2;  13.6;  90.3;  13.6;eor
       3925;201907200050;    2;   -999;  15.0;  13.5;  91.7;  13.7;eor
       3925;201907200100;    2;   -999;  15.0;  13.3;  90.8;  13.5;eor
       3925;201907200110;    2;   -999;  15.1;  13.1;  91.1;  13.7;eor
       3925;201907200120;    2;   -999;  15.0;  13.3;  91.1;  13.6;eor
       3925;201907200130;    2;   -999;  15.3;  13.6;  90.6;  13.8;eor
       3925;201907200140;    2;   -999;  15.3;  13.6;  89.9;  13.7;eor
       3925;201907200150;    2;   -999;  15.0;  13.6;  90.7;  13.5;eor
       3925;201907200200;    2;   -999;  15.0;  13.7;  90.7;  13.5;eor
       3925;201907200210;    2;   -999;  15.4;  13.6;  90.0;  13.8;eor
       3925;201907200220;    2;   -999;  15.6;  13.8;  89.6;  13.9;eor
       3925;201907200230;    2;   -999;  15.8;  13.8;  88.5;  13.9;eor
       3925;201907200240;    2;   -999;  15.6;  13.8;  88.4;  13.7;eor
       3925;201907200250;    2;   -999;  15.5;  13.9;  89.0;  13.7;eor
       3925;201907200300;    2;   -999;  15.6;  13.7;  88.3;  13.7;eor
       3925;201907200310;    2;   -999;  15.4;  13.3;  88.9;  13.6;eor
       3925;201907200320;    2;   -999;  15.0;  12.9;  89.8;  13.3;eor
       3925;201907200330;    2;   -999;  15.0;  12.8;  89.8;  13.3;eor
       3925;201907200340;    2;   -999;  14.5;  13.1;  91.1;  13.1;eor
       3925;201907200350;    2;   -999;  14.5;  12.9;  91.2;  13.1;eor
       3925;201907200400;    2;   -999;  14.7;  13.2;  91.1;  13.3;eor
       3925;201907200410;    2;   -999;  14.8;  13.4;  90.9;  13.3;eor
       3925;201907200420;    2;   -999;  15.1;  13.3;  90.0;  13.5;eor
       3925;201907200430;    2;   -999;  15.5;  14.0;  88.8;  13.7;eor
       3925;201907200440;    2;   -999;  15.8;  14.3;  88.6;  13.9;eor
       3925;201907200450;    2;   -999;  16.4;  14.9;  86.3;  14.1;eor
       3925;201907200500;    2;   -999;  17.0;  15.8;  85.5;  14.6;eor
       3925;201907200510;    2;   -999;  17.5;  17.1;  83.0;  14.6;eor
       3925;201907200520;    2;   -999;  18.0;  17.7;  83.2;  15.1;eor
       3925;201907200530;    2;   -999;  18.4;  18.6;  81.8;  15.2;eor
       3925;201907200540;    2;   -999;  19.2;  19.2;  78.4;  15.4;eor
       3925;201907200550;    2;   -999;  20.0;  20.2;  75.1;  15.5;eor
       3925;201907200600;    2;   -999;  20.3;  21.1;  73.0;  15.3;eor
       3925;201907200610;    2;   -999;  21.0;  21.8;  72.6;  15.9;eor
       3925;201907200620;    2;   -999;  21.8;  22.8;  68.4;  15.7;eor
       3925;201907200630;    2;   -999;  22.9;  23.8;  61.6;  15.1;eor
       3925;201907200640;    2;   -999;  23.3;  24.4;  60.1;  15.1;eor
       3925;201907200650;    2;   -999;  23.3;  24.6;  58.4;  14.7;eor
       3925;201907200700;    2;   -999;  23.8;  25.6;  58.7;  15.2;eor
       3925;201907200710;    2;   -999;  23.8;  25.7;  56.1;  14.5;eor
       3925;201907200720;    2;   -999;  24.7;  27.0;  55.5;  15.2;eor
       3925;201907200730;    2;   -999;  25.0;  27.2;  53.6;  14.9;eor
       3925;201907200740;    2;   -999;  25.2;  28.2;  53.9;  15.2;eor
       3925;201907200750;    2;   -999;  25.0;  28.0;  52.8;  14.7;eor
       3925;201907200800;    2;   -999;  25.0;  28.4;  53.5;  14.9;eor
       3925;201907200810;    2;   -999;  25.6;  29.1;  52.5;  15.2;eor
       3925;201907200820;    2;   -999;  25.9;  29.8;  51.4;  15.1;eor
