STATIONS_ID;MESS_DATUM;  QN;PP_10;TT_10;TM5_10;RF_10;TD_10;eor
       3925;201907160000;    2;   -999;  11.0;   9.3;  90.9;   9.6;eor
       3925;201907160010;    2;   -999;  11.3;   9.4;  91.9;  10.0;eor
       3925;201907160020;    2;   -999;  11.1;   9.1;  92.0;   9.9;eor
       3925;201907160030;    2;   -999;  10.9;   8.7;  92.3;   9.7;eor
       3925;201907160040;    2;   -999;  10.9;   9.5;  93.7;   9.9;eor
       3925;201907160050;    2;   -999;  10.7;   9.1;  93.9;   9.8;eor
       3925;201907160100;    2;   -999;  10.5;   8.9;  94.3;   9.6;eor
       3925;201907160110;    2;   -999;  10.6;   9.0;  94.6;   9.8;eor
       3925;201907160120;    2;   -999;  10.7;   8.5;  94.2;   9.8;eor
       3925;201907160130;    2;   -999;  10.6;   8.6;  93.9;   9.7;eor
       3925;201907160140;    2;   -999;  10.7;   8.5;  93.9;   9.8;eor
       3925;201907160150;    2;   -999;   9.2;   7.6;  93.0;   8.1;eor
       3925;201907160200;    2;   -999;   8.8;   7.5;  93.9;   7.9;eor
       3925;201907160210;    2;   -999;   8.9;   7.2;  95.6;   8.2;eor
       3925;201907160220;    2;   -999;   9.1;   7.2;  94.1;   8.2;eor
       3925;201907160230;    2;   -999;   9.0;   7.1;  98.4;   8.8;eor
       3925;201907160240;    2;   -999;   8.7;   6.9;  97.6;   8.3;eor
       3925;201907160250;    2;   -999;   8.8;   6.7;  97.0;   8.4;eor
       3925;201907160300;    2;   -999;   9.0;   6.7;  98.0;   8.7;eor
       3925;201907160310;    2;   -999;   8.8;   6.9;  98.1;   8.5;eor
       3925;201907160320;    2;   -999;   8.7;   6.7;  98.2;   8.4;eor
       3925;201907160330;    2;   -999;   8.6;   6.5;  98.8;   8.4;eor
       3925;201907160340;    2;   -999;   8.7;   6.6;  99.2;   8.6;eor
       3925;201907160350;    2;   -999;   7.9;   6.8;  97.3;   7.5;eor
       3925;201907160400;    2;   -999;   8.8;   6.8; 100.0;   8.8;eor
       3925;201907160410;    2;   -999;   8.7;   7.1;  99.3;   8.6;eor
       3925;201907160420;    2;   -999;   9.0;   7.7; 100.0;   9.0;eor
       3925;201907160430;    2;   -999;   8.6;   7.7;  96.7;   8.1;eor
       3925;201907160440;    2;   -999;   9.5;   8.5;  98.0;   9.2;eor
       3925;201907160450;    2;   -999;  10.3;   9.2;  96.5;   9.8;eor
       3925;201907160500;    2;   -999;  10.8;   9.9;  92.8;   9.7;eor
       3925;201907160510;    2;   -999;  11.2;  10.7;  91.5;   9.9;eor
       3925;201907160520;    2;   -999;  11.8;  11.2;  89.7;  10.2;eor
       3925;201907160530;    2;   -999;  12.4;  11.8;  88.9;  10.6;eor
       3925;201907160540;    2;   -999;  13.0;  12.5;  88.4;  11.1;eor
       3925;201907160550;    2;   -999;  13.5;  13.2;  87.3;  11.4;eor
       3925;201907160600;    2;   -999;  13.6;  13.1;  84.1;  11.0;eor
       3925;201907160610;    2;   -999;  13.9;  13.6;  81.8;  10.8;eor
       3925;201907160620;    2;   -999;  14.3;  13.8;  80.8;  11.1;eor
       3925;201907160630;    2;   -999;  14.9;  14.4;  80.0;  11.5;eor
       3925;201907160640;    2;   -999;  14.8;  14.5;  78.2;  11.0;eor
       3925;201907160650;    2;   -999;  15.2;  16.0;  77.5;  11.3;eor
       3925;201907160700;    2;   -999;  14.9;  16.6;  76.7;  10.8;eor
       3925;201907160710;    2;   -999;  15.2;  17.2;  76.8;  11.2;eor
       3925;201907160720;    2;   -999;  15.9;  18.3;  75.7;  11.6;eor
       3925;201907160730;    2;   -999;  15.2;  16.9;  74.4;  10.7;eor
       3925;201907160740;    2;   -999;  15.9;  18.2;  70.7;  10.6;eor
       3925;201907160750;    2;   -999;  16.4;  19.6;  71.6;  11.3;eor
       3925;201907160800;    2;   -999;  16.5;  19.9;  69.1;  10.8;eor
       3925;201907160810;    2;   -999;  16.4;  19.7;  69.2;  10.7;eor
       3925;201907160820;    2;   -999;  17.3;  20.2;  66.8;  11.1;eor
       3925;201907160830;    2;   -999;  16.9;  20.9;  65.5;  10.4;eor
       3925;201907160840;    2;   -999;  18.2;  20.7;  64.9;  11.5;eor
       3925;201907160850;    2;   -999;  18.5;  21.3;  64.6;  11.7;eor
