STATIONS_ID;MESS_DATUM;QN_6;  RS; RSF;NSH_TAG;SH_TAG;eor
       3362;20180427;    3;   0.0;   0;-999;   0;eor
       3362;20180428;    3;   3.1;   6;-999;   0;eor
       3362;20180429;    3;   0.5;   6;-999;   0;eor
       3362;20180430;    3;   0.0;   0;-999;   0;eor
       3362;20180501;    3;   0.0;   0;-999;-999;eor
       3362;20180502;    3;   0.3;   6;-999;-999;eor
       3362;20180503;    3;   0.0;   0;-999;-999;eor
       3362;20180504;    3;   0.0;   0;-999;-999;eor
       3362;20180505;    3;   0.0;   0;-999;-999;eor
       3362;20180506;    3;   0.0;   0;-999;-999;eor
       3362;20180507;    3;   0.0;   0;-999;-999;eor
       3362;20180508;    3;   0.0;   0;-999;-999;eor
       3362;20180509;    3;   0.3;   6;-999;-999;eor
       3362;20180510;    3;   1.1;   6;-999;-999;eor
       3362;20180511;    3;   0.0;   0;-999;-999;eor
       3362;20180512;    3;   0.0;   6;-999;-999;eor
       3362;20180513;    3;   4.5;   6;-999;-999;eor
       3362;20180514;    3;   4.1;   6;-999;-999;eor
       3362;20180515;    3;   8.9;   6;-999;-999;eor
       3362;20180516;    3;   5.2;   6;-999;-999;eor
       3362;20180517;    3;   1.9;   6;-999;-999;eor
       3362;20180518;    3;   0.0;   0;-999;-999;eor
       3362;20180519;    3;   5.5;   6;-999;-999;eor
       3362;20180520;    3;   5.0;   6;-999;-999;eor
       3362;20180521;    3;   0.0;   0;-999;-999;eor
       3362;20180522;    3;  12.8;   8;-999;-999;eor
       3362;20180523;    3;   0.2;   6;-999;-999;eor
       3362;20180524;    3;   1.6;   6;-999;-999;eor
       3362;20180525;    3;   0.0;   0;-999;-999;eor
       3362;20180526;    3;   0.0;   0;-999;-999;eor
       3362;20180527;    3;   0.0;   0;-999;-999;eor
       3362;20180528;    3;   0.0;   0;-999;-999;eor
       3362;20180529;    3;   0.0;   6;-999;-999;eor
       3362;20180530;    3;   0.0;   6;-999;-999;eor
       3362;20180531;    3;  50.6;   8;-999;-999;eor
       3362;20180601;    3;   0.0;   0;-999;-999;eor
       3362;20180602;    3;   0.0;   0;-999;-999;eor
       3362;20180603;    3;   0.0;   0;-999;-999;eor
       3362;20180604;    3;   0.0;   0;-999;-999;eor
       3362;20180605;    3;   0.0;   0;-999;-999;eor
       3362;20180606;    3;   0.0;   0;-999;-999;eor
       3362;20180607;    3;   8.6;   6;-999;-999;eor
       3362;20180608;    3;   0.0;   0;-999;-999;eor
       3362;20180609;    3;   0.0;   6;-999;-999;eor
       3362;20180610;    3;   0.0;   0;-999;-999;eor
       3362;20180611;    3;   4.7;   6;-999;-999;eor
       3362;20180612;    3;   2.5;   6;-999;-999;eor
       3362;20180613;    3;   0.0;   0;-999;-999;eor
       3362;20180614;    3;   0.0;   0;-999;-999;eor
       3362;20180615;    3;   0.0;   0;-999;-999;eor
       3362;20180616;    3;   0.0;   6;-999;-999;eor
       3362;20180617;    3;   0.0;   0;-999;-999;eor
       3362;20180618;    3;   0.0;   0;-999;-999;eor
       3362;20180619;    3;   0.0;   0;-999;-999;eor
       3362;20180620;    3;   0.0;   0;-999;-999;eor
       3362;20180621;    3;   0.0;   6;-999;-999;eor
       3362;20180622;    3;   0.0;   0;-999;-999;eor
       3362;20180623;    3;   0.0;   0;-999;-999;eor
       3362;20180624;    3;   0.0;   0;-999;-999;eor
       3362;20180625;    3;   0.0;   0;-999;-999;eor
       3362;20180626;    3;   0.0;   0;-999;-999;eor
       3362;20180627;    3;   0.0;   4;-999;-999;eor
       3362;20180628;    3;   0.3;   6;-999;-999;eor
       3362;20180629;    3;   0.0;   6;-999;-999;eor
       3362;20180630;    3;   0.0;   0;-999;-999;eor
       3362;20180701;    3;   0.0;   0;-999;-999;eor
       3362;20180702;    3;   0.0;   0;-999;-999;eor
       3362;20180703;    3;   0.0;   6;-999;-999;eor
       3362;20180704;    3;   0.0;   6;-999;-999;eor
       3362;20180705;    3;   2.3;   6;-999;-999;eor
       3362;20180706;    3;   7.4;   8;-999;-999;eor
       3362;20180707;    3;   0.0;   0;-999;-999;eor
       3362;20180708;    3;   0.0;   0;-999;-999;eor
       3362;20180709;    3;   0.0;   6;-999;-999;eor
       3362;20180710;    3;   0.7;   6;-999;-999;eor
       3362;20180711;    3;   0.0;   0;-999;-999;eor
       3362;20180712;    3;   0.2;   6;-999;-999;eor
       3362;20180713;    3;   0.4;   6;-999;-999;eor
       3362;20180714;    3;   0.0;   0;-999;-999;eor
       3362;20180715;    3;   5.1;   6;-999;-999;eor
       3362;20180716;    3;   0.0;   0;-999;-999;eor
       3362;20180717;    3;   0.2;   6;-999;-999;eor
       3362;20180718;    3;   0.0;   0;-999;-999;eor
       3362;20180719;    3;   0.0;   0;-999;-999;eor
       3362;20180720;    3;   0.4;   6;-999;-999;eor
       3362;20180721;    3;   2.9;   6;-999;-999;eor
       3362;20180722;    3;  16.1;   8;-999;-999;eor
       3362;20180723;    3;   0.0;   0;-999;-999;eor
       3362;20180724;    3;   0.0;   0;-999;-999;eor
       3362;20180725;    3;   0.0;   0;-999;-999;eor
       3362;20180726;    3;   0.0;   0;-999;-999;eor
       3362;20180727;    3;   0.0;   0;-999;-999;eor
       3362;20180728;    3;   0.0;   6;-999;-999;eor
       3362;20180729;    3;   0.0;   0;-999;-999;eor
       3362;20180730;    3;   0.0;   0;-999;-999;eor
       3362;20180731;    3;   0.0;   6;-999;-999;eor
       3362;20180801;    3;   6.2;   6;-999;-999;eor
       3362;20180802;    3;   0.0;   0;-999;-999;eor
       3362;20180803;    3;   0.0;   0;-999;-999;eor
       3362;20180804;    3;   0.0;   0;-999;-999;eor
       3362;20180805;    3;   0.0;   0;-999;-999;eor
       3362;20180806;    3;   0.0;   0;-999;-999;eor
       3362;20180807;    3;   0.0;   6;-999;-999;eor
       3362;20180808;    3;   0.0;   6;-999;-999;eor
       3362;20180809;    3;   1.5;   6;-999;-999;eor
       3362;20180810;    3;   0.0;   0;-999;-999;eor
       3362;20180811;    3;   0.0;   0;-999;-999;eor
       3362;20180812;    3;   0.0;   0;-999;-999;eor
       3362;20180813;    3;   1.0;   6;-999;-999;eor
       3362;20180814;    3;   0.0;   6;-999;-999;eor
       3362;20180815;    3;   0.0;   0;-999;-999;eor
       3362;20180816;    3;   0.0;   0;-999;-999;eor
       3362;20180817;    3;   0.0;   6;-999;-999;eor
       3362;20180818;    3;   0.0;   0;-999;-999;eor
