STATIONS_ID;MESS_DATUM;  QN;PP_10;TT_10;TM5_10;RF_10;TD_10;eor
       3925;201907120000;    2;   -999;  15.1;  14.2;  83.8;  12.4;eor
       3925;201907120010;    2;   -999;  15.2;  14.0;  84.8;  12.7;eor
       3925;201907120020;    2;   -999;  15.0;  13.5;  86.3;  12.7;eor
       3925;201907120030;    2;   -999;  14.7;  12.8;  86.9;  12.5;eor
       3925;201907120040;    2;   -999;  14.3;  11.7;  88.6;  12.4;eor
       3925;201907120050;    2;   -999;  14.2;  12.5;  88.2;  12.3;eor
       3925;201907120100;    2;   -999;  13.7;  11.8;  89.7;  12.0;eor
       3925;201907120110;    2;   -999;  13.6;  12.1;  90.4;  12.1;eor
       3925;201907120120;    2;   -999;  14.1;  12.3;  88.8;  12.3;eor
       3925;201907120130;    2;   -999;  14.6;  11.9;  86.2;  12.3;eor
       3925;201907120140;    2;   -999;  14.3;  11.8;  87.9;  12.3;eor
       3925;201907120150;    2;   -999;  13.9;  11.7;  89.0;  12.1;eor
       3925;201907120200;    2;   -999;  12.6;  11.6;  91.3;  11.2;eor
       3925;201907120210;    2;   -999;  12.9;  12.0;  92.4;  11.7;eor
       3925;201907120220;    2;   -999;  13.2;  12.6;  92.4;  12.0;eor
       3925;201907120230;    2;   -999;  13.6;  13.0;  90.9;  12.1;eor
       3925;201907120240;    2;   -999;  13.3;  12.9;  92.6;  12.1;eor
       3925;201907120250;    2;   -999;  13.6;  12.9;  90.9;  12.1;eor
       3925;201907120300;    2;   -999;  13.8;  12.7;  90.0;  12.2;eor
       3925;201907120310;    2;   -999;  13.8;  12.5;  91.9;  12.5;eor
       3925;201907120320;    2;   -999;  13.2;  12.6;  91.4;  11.8;eor
       3925;201907120330;    2;   -999;  12.9;  12.1;  93.5;  11.9;eor
       3925;201907120340;    2;   -999;  13.1;  12.5;  94.3;  12.2;eor
       3925;201907120350;    2;   -999;  13.3;  12.5;  94.1;  12.4;eor
       3925;201907120400;    2;   -999;  13.3;  12.5;  93.7;  12.3;eor
       3925;201907120410;    2;   -999;  13.1;  12.6;  94.9;  12.3;eor
       3925;201907120420;    2;   -999;  13.1;  12.4;  95.5;  12.4;eor
       3925;201907120430;    2;   -999;  13.0;  12.5;  94.9;  12.2;eor
       3925;201907120440;    2;   -999;  13.3;  12.7;  94.3;  12.4;eor
       3925;201907120450;    2;   -999;  13.3;  13.0;  94.6;  12.5;eor
       3925;201907120500;    2;   -999;  13.6;  13.6;  94.9;  12.8;eor
       3925;201907120510;    2;   -999;  14.5;  14.9;  93.2;  13.4;eor
       3925;201907120520;    2;   -999;  15.0;  15.1;  89.2;  13.2;eor
       3925;201907120530;    2;   -999;  15.1;  14.9;  89.5;  13.4;eor
       3925;201907120540;    2;   -999;  15.1;  15.2;  90.4;  13.5;eor
       3925;201907120550;    2;   -999;  15.2;  15.5;  88.2;  13.3;eor
       3925;201907120600;    2;   -999;  15.6;  16.4;  88.6;  13.7;eor
       3925;201907120610;    2;   -999;  15.9;  17.2;  88.2;  14.0;eor
       3925;201907120620;    2;   -999;  16.2;  17.2;  85.9;  13.8;eor
       3925;201907120630;    2;   -999;  16.3;  16.8;  87.7;  14.3;eor
       3925;201907120640;    2;   -999;  15.8;  16.3;  90.2;  14.2;eor
       3925;201907120650;    2;   -999;  15.5;  15.5;  92.0;  14.2;eor
       3925;201907120700;    2;   -999;  15.2;  15.2;  96.6;  14.7;eor
       3925;201907120710;    2;   -999;  15.0;  15.0;  95.1;  14.2;eor
       3925;201907120720;    2;   -999;  15.1;  15.2;  96.3;  14.5;eor
       3925;201907120730;    2;   -999;  15.1;  15.2;  95.9;  14.5;eor
       3925;201907120740;    2;   -999;  15.0;  15.1;  95.4;  14.3;eor
       3925;201907120750;    2;   -999;  15.1;  15.4;  97.4;  14.7;eor
       3925;201907120800;    2;   -999;  15.2;  15.5;  98.2;  14.9;eor
       3925;201907120810;    2;   -999;  15.7;  16.4;  97.9;  15.4;eor
       3925;201907120820;    2;   -999;  15.9;  16.9;  96.7;  15.4;eor
       3925;201907120830;    2;   -999;  16.6;  18.0;  96.4;  16.0;eor
       3925;201907120840;    2;   -999;  17.7;  19.7;  90.3;  16.1;eor
       3925;201907120850;    2;   -999;  17.7;  19.4;  86.3;  15.4;eor
       3925;201907120900;    2;   -999;  17.9;  19.4;  89.4;  16.1;eor
       3925;201907120910;    2;   -999;  18.0;  20.0;  85.7;  15.6;eor
       3925;201907120920;    2;   -999;  18.4;  21.4;  85.2;  15.9;eor
       3925;201907120930;    2;   -999;  19.4;  24.4;  81.8;  16.2;eor
       3925;201907120940;    2;   -999;  18.8;  22.1;  79.7;  15.2;eor
       3925;201907120950;    2;   -999;  19.3;  22.8;  76.9;  15.2;eor
       3925;201907121000;    2;   -999;  19.1;  21.5;  74.6;  14.5;eor
       3925;201907121010;    2;   -999;  19.0;  21.2;  74.9;  14.5;eor
       3925;201907121020;    2;   -999;  19.0;  21.3;  77.2;  14.9;eor
       3925;201907121030;    2;   -999;  19.5;  21.6;  77.1;  15.4;eor
       3925;201907121040;    2;   -999;  19.0;  20.3;  77.3;  14.9;eor
       3925;201907121050;    2;   -999;  19.1;  18.6;  81.0;  15.8;eor
       3925;201907121100;    2;   -999;  20.0;  21.3;  78.4;  16.1;eor
       3925;201907121110;    2;   -999;  20.3;  24.2;  70.1;  14.7;eor
       3925;201907121120;    2;   -999;  21.0;  26.9;  73.2;  16.0;eor
       3925;201907121130;    2;   -999;  19.5;  21.7;  72.6;  14.5;eor
       3925;201907121140;    2;   -999;  18.7;  18.7;  78.7;  14.9;eor
       3925;201907121150;    2;   -999;  17.2;  16.7;  86.5;  14.9;eor
       3925;201907121200;    2;   -999;  16.7;  16.6;  91.0;  15.2;eor
       3925;201907121210;    2;   -999;  16.3;  15.8;  87.4;  14.2;eor
       3925;201907121220;    2;   -999;  16.5;  16.6;  89.8;  14.8;eor
       3925;201907121230;    2;   -999;  17.1;  17.4;  87.5;  15.0;eor
       3925;201907121240;    2;   -999;  17.6;  19.4;  84.9;  15.0;eor
       3925;201907121250;    2;   -999;  17.8;  19.5;  84.1;  15.1;eor
       3925;201907121300;    2;   -999;  18.0;  19.6;  84.4;  15.3;eor
       3925;201907121310;    2;   -999;  18.9;  22.4;  83.6;  16.1;eor
       3925;201907121320;    2;   -999;  19.3;  22.2;  81.7;  16.1;eor
       3925;201907121330;    2;   -999;  19.2;  20.9;  82.7;  16.2;eor
       3925;201907121340;    2;   -999;  19.2;  20.5;  82.5;  16.2;eor
       3925;201907121350;    2;   -999;  19.2;  20.7;  83.2;  16.3;eor
       3925;201907121400;    2;   -999;  19.5;  20.7;  82.4;  16.4;eor
       3925;201907121410;    2;   -999;  20.0;  21.3;  82.2;  16.9;eor
       3925;201907121420;    2;   -999;  20.3;  22.5;  81.6;  17.1;eor
