STATIONS_ID;MESS_DATUM;  QN;PP_10;TT_10;TM5_10;RF_10;TD_10;eor
       3362;201907210000;    2;  988.4;  17.8;  17.7;  97.8;  17.5;eor
       3362;201907210010;    2;  988.9;  18.0;  18.0;  97.9;  17.7;eor
       3362;201907210020;    2;  989.1;  18.1;  18.0;  97.3;  17.7;eor
       3362;201907210030;    2;  989.1;  18.7;  18.3;  94.7;  17.8;eor
       3362;201907210040;    2;  989.2;  18.8;  18.3;  94.1;  17.8;eor
       3362;201907210050;    2;  989.0;  18.6;  18.3;  93.8;  17.6;eor
       3362;201907210100;    2;  989.0;  18.2;  18.1;  97.8;  17.9;eor
       3362;201907210110;    2;  989.1;  18.1;  18.2;  98.0;  17.8;eor
       3362;201907210120;    2;  989.5;  18.1;  18.2;  98.9;  17.9;eor
       3362;201907210130;    2;  989.8;  18.3;  18.1;  95.1;  17.5;eor
       3362;201907210140;    2;  989.5;  18.2;  18.0;  97.1;  17.7;eor
       3362;201907210150;    2;  989.2;  17.9;  17.9;  98.1;  17.6;eor
       3362;201907210200;    2;  989.3;  17.8;  17.6;  98.5;  17.6;eor
       3362;201907210210;    2;  989.2;  17.6;  17.4;  98.5;  17.4;eor
       3362;201907210220;    2;  989.2;  17.2;  16.9;  98.1;  16.9;eor
       3362;201907210230;    2;  989.5;  17.2;  16.6;  98.5;  17.0;eor
       3362;201907210240;    2;  989.5;  16.9;  16.9;  98.9;  16.7;eor
       3362;201907210250;    2;  989.6;  16.9;  16.9;  98.8;  16.7;eor
       3362;201907210300;    2;  989.8;  17.2;  17.4;  99.2;  17.1;eor
       3362;201907210310;    2;  989.8;  17.3;  17.5;  99.7;  17.3;eor
       3362;201907210320;    2;  989.9;  17.4;  17.3;  99.4;  17.3;eor
       3362;201907210330;    2;  990.0;  17.3;  17.2;  99.5;  17.2;eor
       3362;201907210340;    2;  990.0;  17.1;  16.9;  99.0;  16.9;eor
       3362;201907210350;    2;  990.1;  17.0;  16.5;  99.4;  16.9;eor
       3362;201907210400;    2;  990.0;  16.8;  16.6;  99.1;  16.7;eor
       3362;201907210410;    2;  990.2;  16.6;  16.4;  98.8;  16.4;eor
       3362;201907210420;    2;  990.2;  16.8;  16.4;  99.2;  16.7;eor
       3362;201907210430;    2;  990.4;  16.7;  16.7;  99.1;  16.6;eor
       3362;201907210440;    2;  990.5;  16.9;  16.8;  99.9;  16.9;eor
       3362;201907210450;    2;  990.6;  16.7;  16.7;  99.2;  16.6;eor
       3362;201907210500;    2;  990.7;  16.9;  17.0;  99.4;  16.8;eor
       3362;201907210510;    2;  990.8;  17.0;  17.0;  99.7;  17.0;eor
       3362;201907210520;    2;  990.9;  17.4;  17.3;  99.4;  17.3;eor
       3362;201907210530;    2;  991.0;  17.7;  17.6;  99.6;  17.6;eor
       3362;201907210540;    2;  991.2;  18.7;  17.9;  96.1;  18.1;eor
       3362;201907210550;    2;  991.2;  19.4;  18.3;  93.4;  18.3;eor
       3362;201907210600;    2;  991.3;  19.5;  18.7;  90.6;  17.9;eor
       3362;201907210610;    2;  991.4;  20.7;  19.7;  88.8;  18.8;eor
       3362;201907210620;    2;  991.5;  21.2;  20.1;  85.1;  18.6;eor
       3362;201907210630;    2;  991.7;  21.6;  20.3;  78.7;  17.7;eor
       3362;201907210640;    2;  991.6;  21.8;  21.0;  81.9;  18.6;eor
       3362;201907210650;    2;  991.6;  21.9;  22.6;  81.3;  18.6;eor
       3362;201907210700;    2;  991.7;  22.6;  23.3;  78.3;  18.6;eor
       3362;201907210710;    2;  991.9;  22.4;  23.4;  74.9;  17.7;eor
       3362;201907210720;    2;  991.9;  22.5;  23.3;  74.3;  17.7;eor
       3362;201907210730;    2;  992.0;  22.6;  23.5;  72.3;  17.4;eor
       3362;201907210740;    2;  992.0;  22.7;  23.5;  71.2;  17.2;eor
       3362;201907210750;    2;  992.2;  22.8;  23.6;  68.8;  16.8;eor
       3362;201907210800;    2;  992.2;  23.3;  24.3;  68.2;  17.1;eor
       3362;201907210810;    2;  992.4;  23.7;  25.1;  68.0;  17.4;eor
       3362;201907210820;    2;  992.5;  23.2;  24.5;  66.5;  16.6;eor
       3362;201907210830;    2;  992.5;  23.8;  25.4;  66.2;  17.1;eor
       3362;201907210840;    2;  992.7;  23.2;  24.2;  66.3;  16.6;eor
       3362;201907210850;    2;  992.7;  23.6;  25.2;  64.9;  16.6;eor
       3362;201907210900;    2;  992.8;  24.2;  26.4;  61.4;  16.3;eor
       3362;201907210910;    2;  992.9;  24.1;  25.7;  60.8;  16.1;eor
       3362;201907210920;    2;  992.8;  23.9;  25.5;  61.7;  16.1;eor
       3362;201907210930;    2;  992.9;  24.4;  26.5;  60.8;  16.3;eor
       3362;201907210940;    2;  992.9;  24.7;  27.0;  58.5;  16.0;eor
       3362;201907210950;    2;  992.9;  24.8;  27.1;  58.8;  16.2;eor
       3362;201907211000;    2;  992.8;  24.9;  27.6;  57.2;  15.9;eor
       3362;201907211010;    2;  992.8;  25.3;  27.9;  57.5;  16.3;eor
       3362;201907211020;    2;  992.8;  25.4;  28.0;  56.9;  16.2;eor
       3362;201907211030;    2;  992.9;  25.3;  28.4;  54.3;  15.4;eor
       3362;201907211040;    2;  992.9;  25.4;  27.6;  53.5;  15.3;eor
       3362;201907211050;    2;  993.0;  25.5;  28.4;  52.4;  15.0;eor
       3362;201907211100;    2;  993.0;  26.2;  29.5;  52.3;  15.7;eor
       3362;201907211110;    2;  993.0;  26.1;  29.0;  48.7;  14.5;eor
       3362;201907211120;    2;  992.9;  26.4;  29.4;  47.2;  14.2;eor
       3362;201907211130;    2;  993.0;  27.2;  30.5;  46.3;  14.7;eor
       3362;201907211140;    2;  993.1;  26.2;  29.0;  46.2;  13.7;eor
       3362;201907211150;    2;  993.1;  25.9;  28.1;  46.9;  13.7;eor
       3362;201907211200;    2;  993.0;  25.8;  27.6;  48.7;  14.2;eor
