STATIONS_ID;MESS_DATUM;  QN;PP_10;TT_10;TM5_10;RF_10;TD_10;eor
       3925;201907140000;    2;   -999;  13.7;  11.4;  98.9;  13.5;eor
       3925;201907140010;    2;   -999;  13.6;  11.4;  99.1;  13.5;eor
       3925;201907140020;    2;   -999;  12.9;  11.2;  97.3;  12.5;eor
       3925;201907140030;    2;   -999;  12.5;  11.3;  98.8;  12.3;eor
       3925;201907140040;    2;   -999;  13.2;  11.1; 100.0;  13.2;eor
       3925;201907140050;    2;   -999;  12.9;  11.4;  99.6;  12.8;eor
       3925;201907140100;    2;   -999;  12.8;  11.8;  99.8;  12.8;eor
       3925;201907140110;    2;   -999;  12.4;  12.2;  99.5;  12.3;eor
       3925;201907140120;    2;   -999;  12.3;  12.4;  99.5;  12.2;eor
       3925;201907140130;    2;   -999;  12.5;  12.7; 100.0;  12.5;eor
       3925;201907140140;    2;   -999;  13.4;  13.0; 100.0;  13.4;eor
       3925;201907140150;    2;   -999;  13.2;  13.1;  98.9;  13.0;eor
       3925;201907140200;    2;   -999;  13.1;  13.1; 100.0;  13.1;eor
       3925;201907140210;    2;   -999;  13.2;  13.0; 100.0;  13.2;eor
       3925;201907140220;    2;   -999;  13.5;  13.5;  99.9;  13.5;eor
       3925;201907140230;    2;   -999;  13.6;  13.6;  99.6;  13.5;eor
       3925;201907140240;    2;   -999;  13.6;  13.6;  99.2;  13.5;eor
       3925;201907140250;    2;   -999;  13.3;  13.3;  99.3;  13.2;eor
       3925;201907140300;    2;   -999;  13.1;  13.2;  99.4;  13.0;eor
       3925;201907140310;    2;   -999;  13.2;  13.3;  99.3;  13.1;eor
       3925;201907140320;    2;   -999;  13.1;  13.1;  99.2;  13.0;eor
       3925;201907140330;    2;   -999;  13.2;  13.1;  98.7;  13.0;eor
       3925;201907140340;    2;   -999;  13.5;  13.3; 100.0;  13.5;eor
       3925;201907140350;    2;   -999;  13.4;  13.4;  99.7;  13.4;eor
       3925;201907140400;    2;   -999;  13.5;  13.6;  99.4;  13.4;eor
