STATIONS_ID;MESS_DATUM;  QN;PP_10;TT_10;TM5_10;RF_10;TD_10;eor
       3362;201907200000;    2;  987.1;  13.6;  12.8;  92.8;  12.5;eor
       3362;201907200010;    2;  987.1;  14.0;  12.6;  96.5;  13.5;eor
       3362;201907200020;    2;  987.0;  13.5;  12.5;  95.4;  12.8;eor
       3362;201907200030;    2;  986.9;  13.6;  12.4;  96.7;  13.1;eor
       3362;201907200040;    2;  986.9;  13.2;  12.1;  95.1;  12.4;eor
       3362;201907200050;    2;  986.8;  13.2;  12.1;  95.9;  12.6;eor
       3362;201907200100;    2;  986.8;  13.1;  11.9;  96.4;  12.5;eor
       3362;201907200110;    2;  986.8;  12.7;  12.0;  94.2;  11.8;eor
       3362;201907200120;    2;  986.8;  12.9;  12.1;  96.4;  12.3;eor
       3362;201907200130;    2;  986.7;  12.9;  11.7;  96.1;  12.3;eor
       3362;201907200140;    2;  986.6;  12.8;  11.8;  97.7;  12.4;eor
       3362;201907200150;    2;  986.6;  12.8;  11.8;  96.7;  12.3;eor
       3362;201907200200;    2;  986.6;  12.9;  11.5;  96.8;  12.4;eor
       3362;201907200210;    2;  986.5;  12.5;  11.4;  96.4;  11.9;eor
       3362;201907200220;    2;  986.4;  12.4;  11.5;  96.3;  11.8;eor
       3362;201907200230;    2;  986.4;  12.6;  11.4;  97.0;  12.1;eor
       3362;201907200240;    2;  986.4;  12.4;  11.5;  96.8;  11.9;eor
       3362;201907200250;    2;  986.3;  12.5;  11.3;  97.3;  12.1;eor
       3362;201907200300;    2;  986.3;  12.3;  11.1;  96.8;  11.8;eor
       3362;201907200310;    2;  986.3;  11.9;  11.1;  96.0;  11.3;eor
       3362;201907200320;    2;  986.2;  12.5;  11.3;  98.5;  12.3;eor
       3362;201907200330;    2;  986.2;  12.5;  11.2;  97.9;  12.2;eor
       3362;201907200340;    2;  986.2;  12.0;  11.3;  96.9;  11.5;eor
       3362;201907200350;    2;  986.2;  12.0;  11.2;  97.2;  11.6;eor
       3362;201907200400;    2;  986.2;  12.1;  11.3;  97.3;  11.7;eor
       3362;201907200410;    2;  986.1;  12.3;  11.3;  98.2;  12.0;eor
       3362;201907200420;    2;  986.1;  12.3;  11.5;  97.9;  12.0;eor
       3362;201907200430;    2;  986.1;  13.0;  12.1;  97.8;  12.7;eor
       3362;201907200440;    2;  986.0;  13.3;  12.5;  96.8;  12.8;eor
       3362;201907200450;    2;  986.0;  14.4;  13.7;  97.0;  13.9;eor
       3362;201907200500;    2;  986.0;  15.0;  14.3;  94.3;  14.1;eor
       3362;201907200510;    2;  986.0;  15.5;  14.8;  92.8;  14.3;eor
       3362;201907200520;    2;  986.0;  15.8;  15.5;  90.9;  14.3;eor
       3362;201907200530;    2;  986.0;  16.3;  16.0;  90.0;  14.7;eor
       3362;201907200540;    2;  986.0;  17.5;  16.8;  86.5;  15.2;eor
       3362;201907200550;    2;  986.0;  18.2;  17.2;  83.3;  15.3;eor
       3362;201907200600;    2;  986.0;  19.1;  18.0;  80.4;  15.7;eor
       3362;201907200610;    2;  986.0;  19.6;  19.6;  77.0;  15.5;eor
       3362;201907200620;    2;  986.1;  20.7;  20.9;  73.1;  15.7;eor
       3362;201907200630;    2;  986.1;  20.8;  21.5;  71.6;  15.5;eor
       3362;201907200640;    2;  986.0;  21.7;  22.4;  68.6;  15.7;eor
       3362;201907200650;    2;  986.1;  22.0;  23.2;  66.5;  15.5;eor
       3362;201907200700;    2;  986.0;  22.5;  23.7;  63.1;  15.1;eor
       3362;201907200710;    2;  986.0;  22.8;  24.6;  63.3;  15.5;eor
       3362;201907200720;    2;  986.0;  23.3;  24.6;  61.3;  15.4;eor
       3362;201907200730;    2;  985.9;  24.1;  26.2;  60.9;  16.1;eor
       3362;201907200740;    2;  986.0;  24.4;  26.3;  59.6;  16.0;eor
       3362;201907200750;    2;  985.9;  24.7;  26.7;  58.5;  16.0;eor
       3362;201907200800;    2;  985.9;  25.2;  27.5;  55.9;  15.8;eor
       3362;201907200810;    2;  985.7;  25.7;  28.7;  54.3;  15.8;eor
       3362;201907200820;    2;  985.7;  26.5;  29.7;  53.5;  16.3;eor
