STATIONS_ID;MESS_DATUM;  QN;PP_10;TT_10;TM5_10;RF_10;TD_10;eor
       3925;201905310000;    2;   -999;  13.8;  11.9;  81.6;  10.7;eor
       3925;201905310010;    2;   -999;  13.7;  11.5;  81.9;  10.7;eor
       3925;201905310020;    2;   -999;  13.8;  11.9;  82.6;  10.9;eor
       3925;201905310030;    2;   -999;  13.4;  12.3;  84.3;  10.8;eor
       3925;201905310040;    2;   -999;  13.6;  12.6;  84.1;  11.0;eor
       3925;201905310050;    2;   -999;  13.9;  13.1;  83.9;  11.2;eor
       3925;201905310100;    2;   -999;  13.7;  13.1;  83.9;  11.0;eor
       3925;201905310110;    2;   -999;  13.0;  13.0;  88.1;  11.1;eor
       3925;201905310120;    2;   -999;  12.9;  12.8;  87.9;  10.9;eor
       3925;201905310130;    2;   -999;  13.3;  13.0;  85.7;  11.0;eor
       3925;201905310140;    2;   -999;  13.6;  13.0;  83.7;  10.9;eor
       3925;201905310150;    2;   -999;  13.7;  13.2;  82.7;  10.8;eor
       3925;201905310200;    2;   -999;  13.6;  13.1;  84.4;  11.0;eor
       3925;201905310210;    2;   -999;  13.6;  13.0;  84.6;  11.1;eor
       3925;201905310220;    2;   -999;  13.7;  13.1;  83.3;  10.9;eor
       3925;201905310230;    2;   -999;  13.7;  13.2;  84.1;  11.1;eor
       3925;201905310240;    2;   -999;  13.6;  13.0;  86.1;  11.3;eor
       3925;201905310250;    2;   -999;  13.7;  13.0;  84.8;  11.2;eor
       3925;201905310300;    2;   -999;  13.7;  13.1;  83.8;  11.0;eor
       3925;201905310310;    2;   -999;  13.6;  13.1;  84.9;  11.1;eor
       3925;201905310320;    2;   -999;  13.3;  13.0;  88.4;  11.4;eor
       3925;201905310330;    2;   -999;  13.3;  13.1;  88.6;  11.5;eor
       3925;201905310340;    2;   -999;  13.4;  13.0;  88.5;  11.5;eor
       3925;201905310350;    2;   -999;  13.5;  13.2;  87.3;  11.4;eor
       3925;201905310400;    2;   -999;  13.6;  13.3;  88.0;  11.7;eor
       3925;201905310410;    2;   -999;  13.8;  13.5;  88.2;  11.9;eor
       3925;201905310420;    2;   -999;  13.8;  13.5;  86.2;  11.5;eor
       3925;201905310430;    2;   -999;  13.6;  13.8;  89.2;  11.9;eor
       3925;201905310440;    2;   -999;  13.4;  13.8;  88.7;  11.6;eor
       3925;201905310450;    2;   -999;  13.8;  13.9;  90.2;  12.2;eor
       3925;201905310500;    2;   -999;  14.2;  14.3;  87.4;  12.1;eor
       3925;201905310510;    2;   -999;  14.4;  14.5;  88.1;  12.5;eor
       3925;201905310520;    2;   -999;  14.6;  14.8;  86.3;  12.3;eor
       3925;201905310530;    2;   -999;  14.8;  15.0;  85.0;  12.3;eor
       3925;201905310540;    2;   -999;  15.0;  15.3;  83.3;  12.2;eor
       3925;201905310550;    2;   -999;  15.2;  15.6;  83.7;  12.5;eor
       3925;201905310600;    2;   -999;  15.4;  15.8;  88.0;  13.4;eor
       3925;201905310610;    2;   -999;  15.8;  16.3;  81.9;  12.7;eor
       3925;201905310620;    2;   -999;  15.9;  16.6;  80.2;  12.5;eor
       3925;201905310630;    2;   -999;  16.2;  17.0;  80.0;  12.8;eor
       3925;201905310640;    2;   -999;  16.7;  17.4;  81.4;  13.5;eor
       3925;201905310650;    2;   -999;  16.8;  17.7;  77.3;  12.8;eor
       3925;201905310700;    2;   -999;  17.0;  18.0;  74.3;  12.4;eor
       3925;201905310710;    2;   -999;  17.2;  18.3;  74.7;  12.7;eor
       3925;201905310720;    2;   -999;  17.3;  18.2;  73.0;  12.4;eor
       3925;201905310730;    2;   -999;  17.2;  18.7;  72.6;  12.2;eor
       3925;201905310740;    2;   -999;  17.6;  19.3;  73.6;  12.8;eor
       3925;201905310750;    2;   -999;  17.5;  19.8;  74.0;  12.8;eor
       3925;201905310800;    2;   -999;  18.3;  20.5;  71.5;  13.1;eor
       3925;201905310810;    2;   -999;  18.4;  20.8;  71.3;  13.1;eor
       3925;201905310820;    2;   -999;  18.5;  21.0;  67.8;  12.4;eor
       3925;201905310830;    2;   -999;  18.0;  22.1;  70.6;  12.6;eor
       3925;201905310840;    2;   -999;  18.1;  21.7;  70.0;  12.5;eor
       3925;201905310850;    2;   -999;  18.6;  21.5;  70.2;  13.1;eor
       3925;201905310900;    2;   -999;  18.9;  22.0;  71.1;  13.6;eor
       3925;201905310910;    2;   -999;  19.1;  22.5;  69.0;  13.3;eor
       3925;201905310920;    2;   -999;  19.1;  23.6;  67.4;  12.9;eor
       3925;201905310930;    2;   -999;  19.8;  25.6;  64.0;  12.8;eor
       3925;201905310940;    2;   -999;  19.6;  24.4;  62.5;  12.2;eor
       3925;201905310950;    2;   -999;  19.9;  25.1;  59.7;  11.8;eor
       3925;201905311000;    2;   -999;  20.0;  23.8;  64.9;  13.2;eor
       3925;201905311010;    2;   -999;  20.2;  25.7;  61.6;  12.6;eor
       3925;201905311020;    2;   -999;  20.4;  26.8;  56.1;  11.4;eor
       3925;201905311030;    2;   -999;  21.6;  26.6;  59.7;  13.4;eor
       3925;201905311040;    2;   -999;  21.1;  27.4;  54.7;  11.6;eor
       3925;201905311050;    2;   -999;  20.6;  26.9;  60.2;  12.6;eor
       3925;201905311100;    2;   -999;  21.3;  28.7;  59.8;  13.2;eor
       3925;201905311110;    2;   -999;  20.9;  28.3;  56.7;  12.0;eor
       3925;201905311120;    2;   -999;  21.1;  28.4;  57.1;  12.3;eor
       3925;201905311130;    2;   -999;  21.4;  29.0;  54.6;  11.9;eor
       3925;201905311140;    2;   -999;  20.9;  25.2;  57.1;  12.1;eor
       3925;201905311150;    2;   -999;  21.5;  28.8;  50.3;  10.7;eor
       3925;201905311200;    2;   -999;  22.3;  29.0;  51.7;  11.9;eor
       3925;201905311210;    2;   -999;  22.2;  29.5;  47.3;  10.5;eor
       3925;201905311220;    2;   -999;  22.1;  30.8;  51.5;  11.6;eor
       3925;201905311230;    2;   -999;  22.2;  31.2;  48.9;  11.0;eor
       3925;201905311240;    2;   -999;  22.2;  31.1;  48.2;  10.7;eor
       3925;201905311250;    2;   -999;  21.8;  26.3;  50.0;  10.9;eor
       3925;201905311300;    2;   -999;  21.7;  26.4;  46.8;   9.8;eor
       3925;201905311310;    2;   -999;  22.4;  30.1;  47.1;  10.6;eor
       3925;201905311320;    2;   -999;  23.0;  31.5;  44.9;  10.4;eor
       3925;201905311330;    2;   -999;  23.0;  30.7;  43.8;  10.0;eor
       3925;201905311340;    2;   -999;  22.8;  30.1;  44.2;  10.0;eor
       3925;201905311350;    2;   -999;  22.5;  26.1;  52.9;  12.4;eor
       3925;201905311400;    2;   -999;  22.5;  25.8;  54.5;  12.9;eor
       3925;201905311410;    2;   -999;  22.4;  25.4;  53.9;  12.6;eor
       3925;201905311420;    2;   -999;  22.0;  25.4;  47.0;  10.2;eor
       3925;201905311430;    2;   -999;  22.0;  24.4;  54.7;  12.5;eor
       3925;201905311440;    2;   -999;  21.7;  23.7;  55.9;  12.5;eor
       3925;201905311450;    2;   -999;  21.7;  22.9;  49.7;  10.7;eor
       3925;201905311500;    2;   -999;  21.7;  23.2;  58.9;  13.3;eor
       3925;201905311510;    2;   -999;  21.8;  22.9;  56.7;  12.8;eor
       3925;201905311520;    2;   -999;  21.7;  22.5;  51.5;  11.3;eor
       3925;201905311530;    2;   -999;  21.9;  22.3;  53.9;  12.1;eor
       3925;201905311540;    2;   -999;  21.9;  22.7;  54.2;  12.2;eor
